RLCP Linnet Flow Monitoring,Kestrel Ambient Conditions Log,,,,,,
Start date,2023-01-28,,,,,,
End date,2023-02-04,,,,,,
Retrieved by,M Sandifer,,,,,,
Notes,Device setup/configuration is noted in first few rows of data.,Default settings as altimeter mode and 10 min readings not intended.,Will compare with subsequent log to note changes once set to barometer mode and hourly readings.,,,,
Device Name,D3 - 2592884, , , , , ,
Device Model,Kestrel DROP 3, , , , , ,
Serial Number,2592884, , , , , ,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude, 
yyyy-MM-dd hh:mm:ss a,°C,%,mb,°C,°C,m,Data Type
2000-01-01 12:10:00 AM,23.1,31.0,1009.6,21.6,5.1,359,point
2000-01-01 12:20:00 AM,23.1,30.8,1009.8,21.5,4.9,355,point
2000-01-01 12:30:00 AM,23.0,30.6,1009.8,21.5,4.8,355,point
2000-01-01 12:40:00 AM,23.0,30.4,1009.8,21.4,4.7,352,point
2000-01-01 12:50:00 AM,23.0,30.1,1009.7,21.5,4.6,355,point
2000-01-01 01:00:00 AM,23.1,30.2,1009.9,21.6,4.7,355,point
2000-01-01 01:10:00 AM,23.2,30.2,1010.0,21.6,4.7,356,point
2000-01-01 01:20:00 AM,23.5,29.7,1010.0,21.7,4.8,367,point
2021-01-27 03:40:00 PM,24.0,30.3,1010.0,22.3,5.5,387,point
2021-01-27 03:50:00 PM,23.3,29.1,1010.1,21.5,4.3,358,point
2023-01-28 03:30:00 PM,5.9,56.1,1025.4,5.3,-2.2,-441,point
2023-01-28 03:40:00 PM,5.3,71.8,1025.1,5.1,0.7,-453,point
2023-01-28 03:50:00 PM,5.3,73.8,1025.0,5.1,1.0,-452,point
2023-01-28 04:00:00 PM,5.4,72.1,1025.2,5.1,0.8,-453,point
2023-01-28 04:10:00 PM,5.4,71.8,1025.1,5.2,0.7,-451,point
2023-01-28 04:20:00 PM,5.4,72.5,1025.1,5.2,0.9,-450,point
2023-01-28 04:30:00 PM,5.3,72.8,1025.3,5.1,0.8,-455,point
2023-01-28 04:40:00 PM,5.1,74.5,1025.4,4.9,0.9,-465,point
