"Plot Title: RLCP HOBO U20L_01"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Pressure Barom., kPa (LGR S/N: )","Sensor Depth, meters (LGR S/N: 21571440)","Coupler Detached (LGR S/N: 21571440)","Coupler Attached (LGR S/N: 21571440)","Stopped (LGR S/N: 21571440)","End Of File (LGR S/N: 21571440)"
1,03/05/23 12:00:00 PM,100.864,6.166,101.290,-0.043,Logged,,,
2,03/05/23 01:00:00 PM,105.240,4.727,101.170,0.415,,,,
3,03/05/23 02:00:00 PM,105.156,4.934,101.100,0.414,,,,
4,03/05/23 03:00:00 PM,105.071,5.037,101.010,0.414,,,,
5,03/05/23 04:00:00 PM,104.973,4.934,100.910,0.414,,,,
6,03/05/23 05:00:00 PM,104.897,4.831,100.850,0.413,,,,
7,03/05/23 06:00:00 PM,104.896,4.727,100.780,0.420,,,,
8,03/05/23 07:00:00 PM,104.917,4.623,100.750,0.425,,,,
9,03/05/23 08:00:00 PM,104.894,4.415,100.720,0.426,,,,
10,03/05/23 09:00:00 PM,104.871,4.311,100.680,0.427,,,,
11,03/05/23 10:00:00 PM,104.795,4.207,100.620,0.426,,,,
12,03/05/23 11:00:00 PM,104.719,4.102,100.540,0.426,,,,
13,03/06/23 12:00:00 AM,104.652,3.893,100.490,0.424,,,,
14,03/06/23 01:00:00 AM,104.595,3.578,100.450,0.423,,,,
15,03/06/23 02:00:00 AM,104.538,3.261,100.360,0.426,,,,
16,03/06/23 03:00:00 AM,104.458,2.837,100.270,0.427,,,,
17,03/06/23 04:00:00 AM,104.410,2.517,100.230,0.426,,,,
18,03/06/23 05:00:00 AM,104.344,2.410,100.180,0.425,,,,
19,03/06/23 06:00:00 AM,104.291,2.410,100.130,0.424,,,,
20,03/06/23 07:00:00 AM,104.216,2.410,100.090,0.421,,,,
21,03/06/23 08:00:00 AM,104.163,2.517,100.030,0.421,,,,
22,03/06/23 09:00:00 AM,104.125,2.837,99.990,0.422,,,,
23,03/06/23 10:00:00 AM,104.042,3.049,99.950,0.417,,,,
24,03/06/23 11:00:00 AM,103.983,3.578,99.910,0.415,,,,
25,03/06/23 12:00:00 PM,103.905,4.311,99.850,0.414,,,,
26,03/06/23 01:00:00 PM,103.843,4.623,99.750,0.417,,,,
27,03/06/23 02:00:00 PM,103.781,5.037,99.700,0.416,,,,
28,03/06/23 03:00:00 PM,103.740,5.347,99.660,0.416,,,,
29,03/06/23 04:00:00 PM,103.708,5.450,99.580,0.421,,,,
30,03/06/23 05:00:00 PM,103.772,5.347,99.600,0.425,,,,
31,03/06/23 06:00:00 PM,103.793,5.244,99.600,0.428,,,,
32,03/06/23 07:00:00 PM,103.781,5.037,99.590,0.427,,,,
33,03/06/23 08:00:00 PM,103.727,5.037,99.550,0.426,,,,
34,03/06/23 09:00:00 PM,103.738,4.934,99.520,0.430,,,,
35,03/06/23 10:00:00 PM,103.715,4.727,99.520,0.428,,,,
36,03/06/23 11:00:00 PM,103.703,4.623,99.480,0.431,,,,
37,03/07/23 12:00:00 AM,103.692,4.519,99.430,0.435,,,,
38,03/07/23 01:00:00 AM,103.658,4.311,99.410,0.433,,,,
39,03/07/23 02:00:00 AM,103.700,4.207,99.370,0.442,,,,
40,03/07/23 03:00:00 AM,103.668,4.207,99.340,0.441,,,,
41,03/07/23 04:00:00 AM,103.655,3.998,99.300,0.444,,,,
42,03/07/23 05:00:00 AM,103.623,3.998,99.280,0.443,,,,
43,03/07/23 06:00:00 AM,103.611,3.893,99.260,0.444,,,,
44,03/07/23 07:00:00 AM,103.590,3.893,99.260,0.442,,,,
45,03/07/23 08:00:00 AM,103.590,3.893,99.320,0.435,,,,
46,03/07/23 09:00:00 AM,103.601,3.998,99.350,0.434,,,,
47,03/07/23 10:00:00 AM,103.624,4.102,99.360,0.435,,,,
48,03/07/23 11:00:00 AM,103.691,4.415,99.380,0.440,,,,
49,03/07/23 12:00:00 PM,103.695,4.934,99.390,0.439,,,,
50,03/07/23 01:00:00 PM,103.771,5.141,99.390,0.447,,,,
51,03/07/23 02:00:00 PM,103.763,5.757,99.450,0.440,,,,
52,03/07/23 03:00:00 PM,103.818,5.962,99.390,0.452,,,,
53,03/07/23 04:00:00 PM,103.796,5.757,99.470,0.441,,,,
54,03/07/23 05:00:00 PM,103.794,5.347,99.510,0.437,,,,
55,03/07/23 06:00:00 PM,103.822,4.727,99.510,0.440,,,,
56,03/07/23 07:00:00 PM,103.829,4.207,99.490,0.442,,,,
57,03/07/23 08:00:00 PM,103.781,3.683,99.500,0.437,,,,
58,03/07/23 09:00:00 PM,103.755,3.261,99.460,0.438,,,,
59,03/07/23 10:00:00 PM,103.728,2.837,99.380,0.443,,,,
