Plot Title: RLCP HOBO U20L_01,,"Note: Reference water level taken at data offload, used for barometric compensation due to battery failure of Kestrel logger",,,,,,
#,"Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Water Level, meters (LGR S/N: 21571440)",Coupler Detached (LGR S/N: 21571440),Coupler Attached (LGR S/N: 21571440),Stopped (LGR S/N: 21571440),End Of File (LGR S/N: 21571440)
1,4/10/2023 15:00,105.139,12.11,0.553,Logged,,,
2,4/10/2023 16:00,105.271,11.916,0.566,,,,
3,4/10/2023 17:00,105.286,11.528,0.567,,,,
4,4/10/2023 18:00,105.333,11.041,0.572,,,,
5,4/10/2023 19:00,105.391,10.651,0.577,,,,
6,4/10/2023 20:00,105.415,10.259,0.579,,,,
7,4/10/2023 21:00,105.428,9.866,0.58,,,,
8,4/10/2023 22:00,105.452,9.472,0.582,,,,
9,4/10/2023 23:00,105.507,9.176,0.587,,,,
10,4/11/2023 0:00,105.573,8.879,0.594,,,,
11,4/11/2023 1:00,105.573,8.68,0.594,,,,
12,4/11/2023 2:00,105.617,8.382,0.598,,,,
13,4/11/2023 3:00,105.66,8.182,0.602,,,,
14,4/11/2023 4:00,105.661,7.983,0.602,,,,
15,4/11/2023 5:00,105.661,7.782,0.602,,,,
16,4/11/2023 6:00,105.715,7.682,0.607,,,,
17,4/11/2023 7:00,105.768,7.682,0.613,,,,
18,4/11/2023 8:00,105.801,7.782,0.616,,,,
19,4/11/2023 9:00,105.757,8.282,0.612,,,,
20,4/11/2023 10:00,105.766,8.978,0.614,,,,
21,4/11/2023 11:00,105.708,9.965,0.609,,,,
22,4/11/2023 12:00,105.681,10.748,0.607,,,,
23,4/11/2023 13:00,105.559,11.139,0.595,,,,
24,4/11/2023 14:00,105.484,11.139,0.587,,,,
25,4/11/2023 15:00,105.366,11.041,0.575,,,,
26,4/11/2023 16:00,105.259,10.944,0.564,,,,
27,4/11/2023 17:00,105.077,10.748,0.545,,,,
28,4/11/2023 18:00,104.951,10.357,0.532,,,,
29,4/11/2023 19:00,104.738,9.965,0.51,,,,
30,4/11/2023 20:00,104.556,9.669,0.491,,,,
31,4/11/2023 21:00,104.385,9.472,0.473,,,,
32,4/11/2023 22:00,104.343,9.275,0.469,,,,
33,4/11/2023 23:00,104.203,9.176,0.454,,,,
34,4/12/2023 0:00,104.236,9.077,0.458,,,,
35,4/12/2023 1:00,104.301,8.978,0.464,,,,
36,4/12/2023 2:00,104.367,8.779,0.471,,,,
37,4/12/2023 3:00,104.378,8.581,0.472,,,,
38,4/12/2023 4:00,104.25,8.282,0.458,,,,
39,4/12/2023 5:00,104.282,8.082,0.461,,,,
40,4/12/2023 6:00,104.25,7.882,0.458,,,,
41,4/12/2023 7:00,104.207,7.782,0.454,,,,
42,4/12/2023 8:00,104.153,7.882,0.448,,,,
43,4/12/2023 9:00,104.11,8.282,0.444,,,,
44,4/12/2023 10:00,104,8.879,0.433,,,,
45,4/12/2023 11:00,104.008,9.373,0.435,,,,
46,4/12/2023 12:00,103.962,9.965,0.431,,,,
47,4/12/2023 13:00,103.85,10.455,0.42,,,,
48,4/12/2023 14:00,103.761,10.748,0.411,,,,
49,4/12/2023 15:00,103.643,10.748,0.399,,,,
50,4/12/2023 16:00,103.602,10.455,0.394,,,,
51,4/12/2023 17:00,103.477,9.866,0.381,,,,
52,4/12/2023 18:00,103.522,9.571,0.385,,,,
53,4/12/2023 19:00,103.535,9.275,0.386,,,,
54,4/12/2023 20:00,103.558,8.879,0.388,,,,
55,4/12/2023 21:00,103.678,8.581,0.4,,,,
56,4/12/2023 22:00,103.733,8.282,0.406,,,,
57,4/12/2023 23:00,103.841,8.082,0.416,,,,
58,4/13/2023 0:00,103.917,7.882,0.424,,,,
59,4/13/2023 1:00,103.938,7.782,0.426,,,,
60,4/13/2023 2:00,103.992,7.682,0.432,,,,
61,4/13/2023 3:00,104.046,7.582,0.437,,,,
62,4/13/2023 4:00,104.089,7.481,0.441,,,,
63,4/13/2023 5:00,104.186,7.381,0.451,,,,
64,4/13/2023 6:00,104.294,7.28,0.462,,,,
65,4/13/2023 7:00,104.347,7.179,0.467,,,,
66,4/13/2023 8:00,104.401,7.381,0.473,,,,
