"Plot Title: RLCP HOBO U20L_01"
"#","Date Time, GMT+00:00","Abs Pres, mbar (LGR S/N: 21571440, SEN S/N: 21571440)","Temp, °C (LGR S/N: 21571440, SEN S/N: 21571440)","Pressure Barom., kPa (LGR S/N: )","Sensor Depth, meters (LGR S/N: 21571440)","Coupler Detached (LGR S/N: 21571440)","Coupler Attached (LGR S/N: 21571440)","Stopped (LGR S/N: 21571440)","End Of File (LGR S/N: 21571440)"
1,08/06/23 12:00:00 PM,1050.9,14.613,101.010,0.417,Logged,,,
2,08/06/23 01:00:00 PM,1051.0,14.900,101.050,0.413,,,,
3,08/06/23 02:00:00 PM,1051.4,15.473,101.060,0.417,,,,
4,08/06/23 03:00:00 PM,1051.7,15.473,101.100,0.415,,,,
5,08/06/23 04:00:00 PM,1051.5,15.473,101.150,0.409,,,,
6,08/06/23 05:00:00 PM,1052.3,15.282,101.150,0.417,,,,
7,08/06/23 06:00:00 PM,1052.6,15.091,101.220,0.412,,,,
8,08/06/23 07:00:00 PM,1052.8,14.900,101.200,0.417,,,,
9,08/06/23 08:00:00 PM,1053.0,14.613,101.340,0.404,,,,
10,08/06/23 09:00:00 PM,1052.9,14.230,101.350,0.403,,,,
11,08/06/23 10:00:00 PM,1052.8,13.846,101.370,0.399,,,,
12,08/06/23 11:00:00 PM,1052.3,13.461,101.390,0.392,,,,
13,08/07/23 12:00:00 AM,1052.3,13.173,101.370,0.394,,,,
14,08/07/23 01:00:00 AM,1051.8,12.980,101.380,0.388,,,,
15,08/07/23 02:00:00 AM,1051.8,12.787,101.370,0.389,,,,
16,08/07/23 03:00:00 AM,1051.5,12.690,101.370,0.386,,,,
17,08/07/23 04:00:00 AM,1051.2,12.594,101.390,0.381,,,,
18,08/07/23 05:00:00 AM,1051.7,12.497,101.380,0.386,,,,
19,08/07/23 06:00:00 AM,1051.5,12.497,101.410,0.381,,,,
20,08/07/23 07:00:00 AM,1051.4,12.594,101.390,0.383,,,,
21,08/07/23 08:00:00 AM,1051.6,12.787,101.380,0.386,,,,
22,08/07/23 09:00:00 AM,1051.5,12.980,101.400,0.383,,,,
23,08/07/23 10:00:00 AM,1051.5,13.076,101.400,0.383,,,,
24,08/07/23 11:00:00 AM,1051.3,13.173,101.380,0.382,,,,
25,08/07/23 12:00:00 PM,1050.7,13.269,101.360,0.379,,,,
26,08/07/23 01:00:00 PM,1050.1,13.461,101.320,0.377,,,,
27,08/07/23 02:00:00 PM,1050.0,13.654,101.300,0.378,,,,
28,08/07/23 03:00:00 PM,1049.5,13.942,101.280,0.375,,,,
29,08/07/23 04:00:00 PM,1049.2,13.942,101.270,0.373,,,,
