Device Name,D3 - 2592884,,,,,,,,,,,,,
Device Model,Kestrel DROP 3,,,,,,,,,,,,,
Serial Number,2592884,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude,,,,,,,,
yyyy-MM-dd hh:mm:ss a,°C,%,mb,°C,°C,m,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
1/1/2000 0:10,23.1,31,1009.6,21.6,5.1,359,point,,,,,,,
1/1/2000 0:20,23.1,30.8,1009.8,21.5,4.9,355,point,,,,,,,
1/1/2000 0:30,23,30.6,1009.8,21.5,4.8,355,point,,,,,,,
1/1/2000 0:40,23,30.4,1009.8,21.4,4.7,352,point,,,,,,,
1/1/2000 0:50,23,30.1,1009.7,21.5,4.6,355,point,,,,,,,
1/1/2000 1:00,23.1,30.2,1009.9,21.6,4.7,355,point,,,,,,,
1/1/2000 1:10,23.2,30.2,1010,21.6,4.7,356,point,,,,,,,
1/1/2000 1:20,23.5,29.7,1010,21.7,4.8,367,point,,,,,,,
1/27/2021 15:40,24,30.3,1010,22.3,5.5,387,point,,,,,,,
1/27/2021 15:50,23.3,29.1,1010.1,21.5,4.3,358,point,,,,,,,
1/28/2023 15:30,5.9,56.1,1025.4,5.3,-2.2,-441,point,,,,,,,
1/28/2023 15:40,5.3,71.8,1025.1,5.1,0.7,-453,point,,,,,,,
1/28/2023 15:50,5.3,73.8,1025,5.1,1,-452,point,,,,,,,
1/28/2023 16:00,5.4,72.1,1025.2,5.1,0.8,-453,point,,,,,,,
1/28/2023 16:10,5.4,71.8,1025.1,5.2,0.7,-451,point,,,,,,,
1/28/2023 16:20,5.4,72.5,1025.1,5.2,0.9,-450,point,,,,,,,
1/28/2023 16:30,5.3,72.8,1025.3,5.1,0.8,-455,point,,,,,,,
1/28/2023 16:40,5.1,74.5,1025.4,4.9,0.9,-465,point,,,,,,,
1/28/2023 16:50,4.9,76.2,1025.4,4.6,1.1,-473,point,,,,,,,
1/28/2023 17:00,5,76.6,1025.4,4.7,1.2,-469,point,,,,,,,
1/28/2023 17:10,4.6,79,1025.5,4.4,1.3,-485,point,,,,,,,
1/28/2023 17:20,4.5,80.5,1025.7,4.3,1.4,-490,point,,,,,,,
1/28/2023 17:30,4.5,80.8,1025.4,4.3,1.5,-488,point,,,,,,,
1/28/2023 17:40,4.5,80.8,1025.6,4.3,1.5,-489,point,,,,,,,
1/28/2023 17:50,4.6,82.1,1025.7,4.5,1.9,-484,point,,,,,,,
1/28/2023 18:00,4.2,83.2,1025.5,4.2,1.6,-499,point,,,,,,,
1/28/2023 18:10,4.4,83.6,1025.5,4.4,1.9,-490,point,,,,,,,
1/28/2023 18:20,4.6,84.3,1025.5,4.6,2.2,-481,point,,,,,,,
1/28/2023 18:30,4.2,84.6,1025.5,4.1,1.8,-499,point,,,,,,,
1/28/2023 18:40,3.8,86.4,1025.5,3.8,1.8,-513,point,,,,,,,
1/28/2023 18:50,3.8,87.6,1025.4,3.8,1.9,-512,point,,,,,,,
1/28/2023 19:00,3.8,87.8,1025.4,3.8,2,-511,point,,,,,,,
1/28/2023 19:10,4,88.2,1025.3,4,2.2,-503,point,,,,,,,
1/28/2023 19:20,3.8,87.9,1025.3,3.8,2,-511,point,,,,,,,
1/28/2023 19:30,4.1,88.1,1025.4,4,2.3,-502,point,,,,,,,
1/28/2023 19:40,3.8,88,1025.6,3.8,2,-515,point,,,,,,,
