Date,Time,pres (mbar)
4/10/2023,15:00:00,999.5
4/10/2023,16:00:00,999
4/10/2023,17:00:00,999.7
4/10/2023,18:00:00,999.8
4/10/2023,19:00:00,1000.5
4/10/2023,20:00:00,1000.9
4/10/2023,21:00:00,1001.9
4/10/2023,22:00:00,1002.2
4/10/2023,23:00:00,1002.6
4/11/2023,0:00:00,1003
4/11/2023,1:00:00,1003.6
4/11/2023,2:00:00,1004
4/11/2023,3:00:00,1004.5
4/11/2023,4:00:00,1004.6
4/11/2023,5:00:00,1005.1
4/11/2023,6:00:00,1005.4
4/11/2023,7:00:00,1006.1
4/11/2023,8:00:00,1006.5
4/11/2023,9:00:00,1006.4
4/11/2023,10:00:00,1006.7
4/11/2023,11:00:00,1006.6
4/11/2023,12:00:00,1006.1
4/11/2023,13:00:00,1005.7
4/11/2023,14:00:00,1004.9
4/11/2023,15:00:00,1003.9
4/11/2023,16:00:00,1002.8
4/11/2023,17:00:00,1001.9
4/11/2023,18:00:00,1000.6
4/11/2023,19:00:00,999
4/11/2023,20:00:00,997.1
4/11/2023,21:00:00,997.2
4/11/2023,22:00:00,995.1
4/11/2023,23:00:00,993.7
4/12/2023,0:00:00,993.4
4/12/2023,1:00:00,991.4
4/12/2023,2:00:00,991
4/12/2023,3:00:00,991.3
4/12/2023,4:00:00,990.9
4/12/2023,5:00:00,990.4
4/12/2023,6:00:00,990.1
4/12/2023,7:00:00,990.2
4/12/2023,8:00:00,990
4/12/2023,9:00:00,989.2
4/12/2023,10:00:00,989.1
4/12/2023,11:00:00,988.1
4/12/2023,12:00:00,987.7
4/12/2023,13:00:00,987.1
4/12/2023,14:00:00,986.1
4/12/2023,15:00:00,985.2
4/12/2023,16:00:00,984.1
4/12/2023,17:00:00,984.2
4/12/2023,18:00:00,984.4
4/12/2023,19:00:00,982.8
4/12/2023,20:00:00,983
4/12/2023,21:00:00,983.6
4/12/2023,22:00:00,984.3
4/12/2023,23:00:00,984.9
4/13/2023,0:00:00,985.9
4/13/2023,1:00:00,986.9
4/13/2023,2:00:00,987.5
4/13/2023,3:00:00,988.2
4/13/2023,4:00:00,989.3
4/13/2023,5:00:00,989.7
4/13/2023,6:00:00,990.8
4/13/2023,7:00:00,991.8
4/13/2023,8:00:00,993
4/13/2023,9:00:00,993.5
4/13/2023,10:00:00,994.2
4/13/2023,11:00:00,994.6
4/13/2023,12:00:00,995.8
4/13/2023,13:00:00,995.7
4/13/2023,14:00:00,995.5
4/13/2023,15:00:00,996.4
4/13/2023,16:00:00,996.6
4/13/2023,17:00:00,996.9
4/13/2023,18:00:00,997.5
4/13/2023,19:00:00,998.1
4/13/2023,20:00:00,999
4/13/2023,21:00:00,999.4
4/13/2023,22:00:00,1000
4/13/2023,23:00:00,1000
4/14/2023,0:00:00,1000
4/14/2023,1:00:00,999.9
4/14/2023,2:00:00,1000
4/14/2023,3:00:00,999.9
4/14/2023,4:00:00,999.7
4/14/2023,5:00:00,999.5
4/14/2023,6:00:00,999.3
4/14/2023,7:00:00,999.4
4/14/2023,8:00:00,999.3
4/14/2023,9:00:00,999.2
4/14/2023,10:00:00,999
4/14/2023,11:00:00,999.4
4/14/2023,12:00:00,999.1
4/14/2023,13:00:00,998.9
4/14/2023,14:00:00,999.2
4/14/2023,15:00:00,999.2
4/14/2023,16:00:00,999.6
4/14/2023,17:00:00,999.8
4/14/2023,18:00:00,1000.5
4/14/2023,19:00:00,1000.8
4/14/2023,20:00:00,1001.2
4/14/2023,21:00:00,1002.3
4/14/2023,22:00:00,1002.9
4/14/2023,23:00:00,1003.3
4/15/2023,0:00:00,1003.6
4/15/2023,1:00:00,1004.1
4/15/2023,2:00:00,1004.3
4/15/2023,3:00:00,1004.8
4/15/2023,4:00:00,1005.7
4/15/2023,5:00:00,1006.5
4/15/2023,6:00:00,1007.2
4/15/2023,7:00:00,1008.6
4/15/2023,8:00:00,1009.8
4/15/2023,9:00:00,1011
4/15/2023,10:00:00,1011.9
4/15/2023,11:00:00,1012.7
4/15/2023,12:00:00,1013.5
4/15/2023,13:00:00,1013.9
4/15/2023,14:00:00,1014.4
4/15/2023,15:00:00,1015.5
4/15/2023,16:00:00,1016.3
4/15/2023,17:00:00,1016.9
4/15/2023,18:00:00,1017.5
4/15/2023,19:00:00,1017.9
4/15/2023,20:00:00,1018.5
4/15/2023,21:00:00,1019.3
4/15/2023,22:00:00,1019.6
4/15/2023,23:00:00,1020.2
4/16/2023,0:00:00,1019.8
4/16/2023,1:00:00,1020.5
4/16/2023,2:00:00,1020.4
4/16/2023,3:00:00,1020
4/16/2023,4:00:00,1020
4/16/2023,5:00:00,1019.8
4/16/2023,6:00:00,1020
4/16/2023,7:00:00,1020.3
4/16/2023,8:00:00,1020.8
4/16/2023,9:00:00,1021.2
4/16/2023,10:00:00,1021.2
4/16/2023,11:00:00,1021.4
4/16/2023,12:00:00,1021
4/16/2023,13:00:00,1021.5
4/16/2023,14:00:00,1021.4
4/16/2023,15:00:00,1020.8
4/16/2023,16:00:00,1020.4
4/16/2023,17:00:00,1020.1
4/16/2023,18:00:00,1020.8
4/16/2023,19:00:00,1020.9
4/16/2023,20:00:00,1021.1
4/16/2023,21:00:00,1021.6
4/16/2023,22:00:00,1021.6
4/16/2023,23:00:00,1021.7
4/17/2023,0:00:00,1021.8
4/17/2023,1:00:00,1021.9
4/17/2023,2:00:00,1021.8
4/17/2023,3:00:00,1021.8
4/17/2023,4:00:00,1021.8
4/17/2023,5:00:00,1021.4
4/17/2023,6:00:00,1022.3
