Date,Time,pres (mbar)
2/15/2023,13:00:00,1016.2
2/15/2023,14:00:00,1015.3
2/15/2023,15:00:00,1015
2/15/2023,16:00:00,1015.6
2/15/2023,17:00:00,1015.7
2/15/2023,18:00:00,1016
2/15/2023,19:00:00,1015.8
2/15/2023,20:00:00,1015.8
2/15/2023,21:00:00,1016.1
2/15/2023,22:00:00,1016.1
2/15/2023,23:00:00,1016
2/16/2023,0:00:00,1016.4
2/16/2023,1:00:00,1016
2/16/2023,2:00:00,1015.9
2/16/2023,3:00:00,1015.9
2/16/2023,4:00:00,1015.3
2/16/2023,5:00:00,1014.9
2/16/2023,6:00:00,1014.3
2/16/2023,7:00:00,1013.9
2/16/2023,8:00:00,1014
2/16/2023,9:00:00,1013.6
2/16/2023,10:00:00,1013.5
2/16/2023,11:00:00,1013.3
2/16/2023,12:00:00,1013.1
2/16/2023,13:00:00,1012.8
2/16/2023,14:00:00,1012.6
2/16/2023,15:00:00,1012.4
2/16/2023,16:00:00,1012.7
2/16/2023,17:00:00,1012.4
2/16/2023,18:00:00,1012.3
2/16/2023,19:00:00,1012.7
2/16/2023,20:00:00,1012.7
2/16/2023,21:00:00,1012.8
2/16/2023,22:00:00,1012.9
2/16/2023,23:00:00,1012.5
2/17/2023,0:00:00,1012.5
2/17/2023,1:00:00,1012.2
2/17/2023,2:00:00,1011.8
2/17/2023,3:00:00,1011.7
2/17/2023,4:00:00,1011.6
2/17/2023,5:00:00,1011.7
2/17/2023,6:00:00,1011.3
2/17/2023,7:00:00,1011.2
2/17/2023,8:00:00,1011.5
2/17/2023,9:00:00,1011.3
2/17/2023,10:00:00,1012.2
2/17/2023,11:00:00,1012
2/17/2023,12:00:00,1013.6
2/17/2023,13:00:00,1014.2
2/17/2023,14:00:00,1014.4
2/17/2023,15:00:00,1014.9
2/17/2023,16:00:00,1015.2
2/17/2023,17:00:00,1016
2/17/2023,18:00:00,1016.7
2/17/2023,19:00:00,1017.2
2/17/2023,20:00:00,1017.1
2/17/2023,21:00:00,1017.1
2/17/2023,22:00:00,1016.9
2/17/2023,23:00:00,1016.1
2/18/2023,0:00:00,1015.9
2/18/2023,1:00:00,1015.1
2/18/2023,2:00:00,1014.8
2/18/2023,3:00:00,1014.2
2/18/2023,4:00:00,1013.6
2/18/2023,5:00:00,1012.8
2/18/2023,6:00:00,1012.5
2/18/2023,7:00:00,1012.2
2/18/2023,8:00:00,1013.3
2/18/2023,9:00:00,1013.6
2/18/2023,10:00:00,1013.8
2/18/2023,11:00:00,1014
2/18/2023,12:00:00,1013.9
2/18/2023,13:00:00,1013.7
2/18/2023,14:00:00,1013.7
2/18/2023,15:00:00,1013.5
2/18/2023,16:00:00,1013.1
2/18/2023,17:00:00,1012.9
2/18/2023,18:00:00,1013.2
2/18/2023,19:00:00,1013.1
2/18/2023,20:00:00,1013.5
2/18/2023,21:00:00,1014.2
2/18/2023,22:00:00,1014.1
2/18/2023,23:00:00,1014.3
2/19/2023,0:00:00,1014.7
2/19/2023,1:00:00,1015.4
2/19/2023,2:00:00,1015.3
2/19/2023,3:00:00,1016.1
2/19/2023,4:00:00,1016.4
2/19/2023,5:00:00,1017.5
2/19/2023,6:00:00,1018.4
2/19/2023,7:00:00,1019.3
2/19/2023,8:00:00,1020.3
2/19/2023,9:00:00,1020.8
2/19/2023,10:00:00,1021.3
2/19/2023,11:00:00,1021.8
2/19/2023,12:00:00,1021.4
2/19/2023,13:00:00,1021.6
2/19/2023,14:00:00,1020.7
2/19/2023,15:00:00,1021
2/19/2023,16:00:00,1020.2
2/19/2023,17:00:00,1020
2/19/2023,18:00:00,1019.9
2/19/2023,19:00:00,1020
2/19/2023,20:00:00,1019.5
2/19/2023,21:00:00,1019.4
2/19/2023,22:00:00,1019.6
2/19/2023,23:00:00,1019.5
2/20/2023,0:00:00,1019
2/20/2023,1:00:00,1018.6
2/20/2023,2:00:00,1018
2/20/2023,3:00:00,1017.9
2/20/2023,4:00:00,1017.5
2/20/2023,5:00:00,1017.4
2/20/2023,6:00:00,1016.9
2/20/2023,7:00:00,1017
2/20/2023,8:00:00,1016.9
2/20/2023,9:00:00,1016.7
2/20/2023,10:00:00,1016.8
2/20/2023,11:00:00,1016.3
2/20/2023,12:00:00,1016.2
2/20/2023,13:00:00,1015.5
2/20/2023,14:00:00,1015
2/20/2023,15:00:00,1014.4
2/20/2023,16:00:00,1014.6
