Date,Time,pres (mbar)
2/20/2023,16:00:00,1014.6
2/20/2023,17:00:00,1015.3
2/20/2023,18:00:00,1015.4
2/20/2023,19:00:00,1015.2
2/20/2023,20:00:00,1015.6
2/20/2023,21:00:00,1015.4
2/20/2023,22:00:00,1015.5
2/20/2023,23:00:00,1015.3
2/21/2023,0:00:00,1015.2
2/21/2023,1:00:00,1014.9
2/21/2023,2:00:00,1014.6
2/21/2023,3:00:00,1014.5
2/21/2023,4:00:00,1014.5
2/21/2023,5:00:00,1014.3
2/21/2023,6:00:00,1013.8
2/21/2023,7:00:00,1014
2/21/2023,8:00:00,1014.2
2/21/2023,9:00:00,1013.7
2/21/2023,10:00:00,1013.8
2/21/2023,11:00:00,1013.8
2/21/2023,12:00:00,1012.8
2/21/2023,13:00:00,1012.3
2/21/2023,14:00:00,1010.5
2/21/2023,15:00:00,1009.9
2/21/2023,16:00:00,1009.9
2/21/2023,17:00:00,1009.5
2/21/2023,18:00:00,1009.5
2/21/2023,19:00:00,1009.3
2/21/2023,20:00:00,1008.9
2/21/2023,21:00:00,1008.6
2/21/2023,22:00:00,1008.2
2/21/2023,23:00:00,1007.7
2/22/2023,0:00:00,1007.4
2/22/2023,1:00:00,1007.1
2/22/2023,2:00:00,1006.5
2/22/2023,3:00:00,1006.1
2/22/2023,4:00:00,1005.5
2/22/2023,5:00:00,1005.1
2/22/2023,6:00:00,1004.8
2/22/2023,7:00:00,1004.8
2/22/2023,8:00:00,1004.8
2/22/2023,9:00:00,1005.1
2/22/2023,10:00:00,1005.4
2/22/2023,11:00:00,1005.1
2/22/2023,12:00:00,1005.1
2/22/2023,13:00:00,1005.1
2/22/2023,14:00:00,1005.1
2/22/2023,15:00:00,1005.4
2/22/2023,16:00:00,1005.9
2/22/2023,17:00:00,1006.4
2/22/2023,18:00:00,1006.7
2/22/2023,19:00:00,1007.1
2/22/2023,20:00:00,1007.3
2/22/2023,21:00:00,1007.9
2/22/2023,22:00:00,1008.1
2/22/2023,23:00:00,1008.6
2/23/2023,0:00:00,1009
2/23/2023,1:00:00,1009.2
2/23/2023,2:00:00,1009.4
2/23/2023,3:00:00,1009.5
2/23/2023,4:00:00,1009.4
2/23/2023,5:00:00,1010.2
2/23/2023,6:00:00,1010.6
2/23/2023,7:00:00,1011.5
2/23/2023,8:00:00,1012.6
2/23/2023,9:00:00,1013.5
2/23/2023,10:00:00,1014.1
2/23/2023,11:00:00,1014.2
2/23/2023,12:00:00,1014.4
2/23/2023,13:00:00,1014.2
2/23/2023,14:00:00,1014.5
2/23/2023,15:00:00,1014.6
2/23/2023,16:00:00,1014.9
2/23/2023,17:00:00,1014.9
2/23/2023,18:00:00,1015
2/23/2023,19:00:00,1014.7
2/23/2023,20:00:00,1013.8
2/23/2023,21:00:00,1014.2
2/23/2023,22:00:00,1013.8
2/23/2023,23:00:00,1012.9
2/24/2023,0:00:00,1012.5
2/24/2023,1:00:00,1011.5
2/24/2023,2:00:00,1010.7
2/24/2023,3:00:00,1009.9
2/24/2023,4:00:00,1008.8
2/24/2023,5:00:00,1008.2
2/24/2023,6:00:00,1007.4
2/24/2023,7:00:00,1007
2/24/2023,8:00:00,1006.8
2/24/2023,9:00:00,1006.6
2/24/2023,10:00:00,1006.4
2/24/2023,11:00:00,1006.3
2/24/2023,12:00:00,1006.1
2/24/2023,13:00:00,1005.2
2/24/2023,14:00:00,1005.8
2/24/2023,15:00:00,1005
2/24/2023,16:00:00,1005.5
2/24/2023,17:00:00,1006.3
2/24/2023,18:00:00,1006.9
2/24/2023,19:00:00,1006.8
2/24/2023,20:00:00,1007.4
2/24/2023,21:00:00,1007.7
2/24/2023,22:00:00,1008.1
2/24/2023,23:00:00,1008.3
2/25/2023,0:00:00,1008.5
2/25/2023,1:00:00,1008.8
