Date,Time,pres (mbar)
3/5/2023,12:00:00,1012.9
3/5/2023,13:00:00,1011.7
3/5/2023,14:00:00,1011
3/5/2023,15:00:00,1010.1
3/5/2023,16:00:00,1009.1
3/5/2023,17:00:00,1008.5
3/5/2023,18:00:00,1007.8
3/5/2023,19:00:00,1007.5
3/5/2023,20:00:00,1007.2
3/5/2023,21:00:00,1006.8
3/5/2023,22:00:00,1006.2
3/5/2023,23:00:00,1005.4
3/6/2023,0:00:00,1004.9
3/6/2023,1:00:00,1004.5
3/6/2023,2:00:00,1003.6
3/6/2023,3:00:00,1002.7
3/6/2023,4:00:00,1002.3
3/6/2023,5:00:00,1001.8
3/6/2023,6:00:00,1001.3
3/6/2023,7:00:00,1000.9
3/6/2023,8:00:00,1000.3
3/6/2023,9:00:00,999.9
3/6/2023,10:00:00,999.5
3/6/2023,11:00:00,999.1
3/6/2023,12:00:00,998.5
3/6/2023,13:00:00,997.5
3/6/2023,14:00:00,997
3/6/2023,15:00:00,996.6
3/6/2023,16:00:00,995.8
3/6/2023,17:00:00,996
3/6/2023,18:00:00,996
3/6/2023,19:00:00,995.9
3/6/2023,20:00:00,995.5
3/6/2023,21:00:00,995.2
3/6/2023,22:00:00,995.2
3/6/2023,23:00:00,994.8
3/7/2023,0:00:00,994.3
3/7/2023,1:00:00,994.1
3/7/2023,2:00:00,993.7
3/7/2023,3:00:00,993.4
3/7/2023,4:00:00,993
3/7/2023,5:00:00,992.8
3/7/2023,6:00:00,992.6
3/7/2023,7:00:00,992.6
3/7/2023,8:00:00,993.2
3/7/2023,9:00:00,993.5
3/7/2023,10:00:00,993.6
3/7/2023,11:00:00,993.8
3/7/2023,12:00:00,993.9
3/7/2023,13:00:00,993.9
3/7/2023,14:00:00,994.5
3/7/2023,15:00:00,993.9
3/7/2023,16:00:00,994.7
3/7/2023,17:00:00,995.1
3/7/2023,18:00:00,995.1
3/7/2023,19:00:00,994.9
3/7/2023,20:00:00,995
3/7/2023,21:00:00,994.6
3/7/2023,22:00:00,993.8
3/7/2023,23:00:00,993.6
3/8/2023,0:00:00,992.8
3/8/2023,1:00:00,991.9
3/8/2023,2:00:00,991.1
3/8/2023,3:00:00,990.3
3/8/2023,4:00:00,988.9
3/8/2023,5:00:00,988.4
3/8/2023,6:00:00,987.9
3/8/2023,7:00:00,987.8
3/8/2023,8:00:00,987.6
3/8/2023,9:00:00,987.6
3/8/2023,10:00:00,987.4
3/8/2023,11:00:00,987.4
3/8/2023,12:00:00,987.3
3/8/2023,13:00:00,987
3/8/2023,14:00:00,986.8
3/8/2023,15:00:00,986.4
3/8/2023,16:00:00,985.8
3/8/2023,17:00:00,985.6
3/8/2023,18:00:00,985.6
3/8/2023,19:00:00,985.7
3/8/2023,20:00:00,986.1
3/8/2023,21:00:00,986.3
3/8/2023,22:00:00,986.6
3/8/2023,23:00:00,986.6
3/9/2023,0:00:00,986.8
3/9/2023,1:00:00,987.8
3/9/2023,2:00:00,988.4
3/9/2023,3:00:00,988.6
3/9/2023,4:00:00,989.2
3/9/2023,5:00:00,989.8
3/9/2023,6:00:00,990
3/9/2023,7:00:00,990.3
3/9/2023,8:00:00,990.4
3/9/2023,9:00:00,990.2
3/9/2023,10:00:00,990
3/9/2023,11:00:00,989.6
3/9/2023,12:00:00,989.3
3/9/2023,13:00:00,988.5
3/9/2023,14:00:00,987.5
3/9/2023,15:00:00,986.7
3/9/2023,16:00:00,985.8
3/9/2023,17:00:00,985.3
3/9/2023,18:00:00,984.7
3/9/2023,19:00:00,983.6
3/9/2023,20:00:00,982.9
3/9/2023,21:00:00,982.2
3/9/2023,22:00:00,981.5
3/9/2023,23:00:00,980.6
3/10/2023,0:00:00,979.7
3/10/2023,1:00:00,979.1
3/10/2023,2:00:00,978.3
3/10/2023,3:00:00,978.4
3/10/2023,4:00:00,978.2
3/10/2023,5:00:00,979
3/10/2023,6:00:00,980.8
3/10/2023,7:00:00,982.1
3/10/2023,8:00:00,984.2
3/10/2023,9:00:00,988
3/10/2023,10:00:00,990.9
3/10/2023,11:00:00,992.6
3/10/2023,12:00:00,994.2
3/10/2023,13:00:00,996.5
3/10/2023,14:00:00,997.5
3/10/2023,15:00:00,999.1
3/10/2023,16:00:00,999.9
3/10/2023,17:00:00,1001.1
3/10/2023,18:00:00,1001.6
3/10/2023,19:00:00,1001.9
3/10/2023,20:00:00,1002.7
3/10/2023,21:00:00,1003.2
3/10/2023,22:00:00,1003.6
3/10/2023,23:00:00,1003.8
3/11/2023,0:00:00,1003.8
3/11/2023,1:00:00,1004
3/11/2023,2:00:00,1004.2
3/11/2023,3:00:00,1003.8
3/11/2023,4:00:00,1003.6
3/11/2023,5:00:00,1003.9
3/11/2023,6:00:00,1004.5
3/11/2023,7:00:00,1004.8
3/11/2023,8:00:00,1005.2
3/11/2023,9:00:00,1005.7
3/11/2023,10:00:00,1005.7
3/11/2023,11:00:00,1005.5
3/11/2023,12:00:00,1005
3/11/2023,13:00:00,1004.8
3/11/2023,14:00:00,1004.5
3/11/2023,15:00:00,1004
3/11/2023,16:00:00,1004
3/11/2023,17:00:00,1004
3/11/2023,18:00:00,1004.2
3/11/2023,19:00:00,1003.8
3/11/2023,20:00:00,1003.7
3/11/2023,21:00:00,1003.1
3/11/2023,22:00:00,1002
3/11/2023,23:00:00,1001.5
3/12/2023,0:00:00,1000.6
3/12/2023,1:00:00,1000.4
3/12/2023,2:00:00,999.5
3/12/2023,3:00:00,999.3
3/12/2023,4:00:00,999.4
3/12/2023,5:00:00,999.8
3/12/2023,6:00:00,1000.6
3/12/2023,7:00:00,1000.7
3/12/2023,8:00:00,1001.3
3/12/2023,9:00:00,1001.6
3/12/2023,10:00:00,1001.5
3/12/2023,11:00:00,1001.4
3/12/2023,12:00:00,1000.9
3/12/2023,13:00:00,1000.1
3/12/2023,14:00:00,1000.4
3/12/2023,15:00:00,999.7
3/12/2023,16:00:00,998.9
3/12/2023,17:00:00,997.9
3/12/2023,18:00:00,997.2
3/12/2023,19:00:00,996.7
3/12/2023,20:00:00,995.2
3/12/2023,21:00:00,995.6
3/12/2023,22:00:00,993.6
3/12/2023,23:00:00,990.5
3/13/2023,0:00:00,989.6
3/13/2023,1:00:00,988.2
3/13/2023,2:00:00,987.9
3/13/2023,3:00:00,986.9
3/13/2023,4:00:00,986
3/13/2023,5:00:00,985.3
3/13/2023,6:00:00,984.9
3/13/2023,7:00:00,984.4
3/13/2023,8:00:00,983.5
3/13/2023,9:00:00,983.2
3/13/2023,10:00:00,982.9
3/13/2023,11:00:00,983.1
3/13/2023,12:00:00,982.2
3/13/2023,13:00:00,981.9
3/13/2023,14:00:00,982
3/13/2023,15:00:00,981.6
3/13/2023,16:00:00,981.2
3/13/2023,17:00:00,980.9
3/13/2023,18:00:00,980.9
3/13/2023,19:00:00,980.7
3/13/2023,20:00:00,980
3/13/2023,21:00:00,980.2
3/13/2023,22:00:00,980
3/13/2023,23:00:00,979.9
3/14/2023,0:00:00,980.1
3/14/2023,1:00:00,981.8
3/14/2023,2:00:00,983
3/14/2023,3:00:00,984.6
3/14/2023,4:00:00,985.7
3/14/2023,5:00:00,987
3/14/2023,6:00:00,988.6
3/14/2023,7:00:00,991.4
3/14/2023,8:00:00,993.8
3/14/2023,9:00:00,996
3/14/2023,10:00:00,997.7
3/14/2023,11:00:00,998.9
3/14/2023,12:00:00,1000.2
3/14/2023,13:00:00,1001.3
3/14/2023,14:00:00,1000.9
3/14/2023,15:00:00,1003.5
3/14/2023,16:00:00,1003.1
3/14/2023,17:00:00,1004.2
3/14/2023,18:00:00,1004.3
3/14/2023,19:00:00,1005.4
3/14/2023,20:00:00,1006.1
3/14/2023,21:00:00,1005.9
3/14/2023,22:00:00,1006.6
3/14/2023,23:00:00,1007
3/15/2023,0:00:00,1007.5
3/15/2023,1:00:00,1008.8
3/15/2023,2:00:00,1009.2
3/15/2023,3:00:00,1009.4
3/15/2023,4:00:00,1010.1
3/15/2023,5:00:00,1010.3
3/15/2023,6:00:00,1010.4
3/15/2023,7:00:00,1011.1
3/15/2023,8:00:00,1011.6
3/15/2023,9:00:00,1011.3
3/15/2023,10:00:00,1012
3/15/2023,11:00:00,1012
3/15/2023,12:00:00,1011.7
3/15/2023,13:00:00,1011.2
3/15/2023,14:00:00,1010.5
3/15/2023,15:00:00,1010.1
3/15/2023,16:00:00,1009.8
3/15/2023,17:00:00,1009.7
3/15/2023,18:00:00,1009.4
3/15/2023,19:00:00,1009.1
3/15/2023,20:00:00,1008.3
3/15/2023,21:00:00,1007.7
3/15/2023,22:00:00,1007.1
3/15/2023,23:00:00,1006.6
3/16/2023,0:00:00,1005.7
3/16/2023,1:00:00,1006.4
3/16/2023,2:00:00,1003.8
3/16/2023,3:00:00,1003
3/16/2023,4:00:00,1002.5
3/16/2023,5:00:00,1002.6
3/16/2023,6:00:00,1002.2
3/16/2023,7:00:00,1001.9
3/16/2023,8:00:00,1001.8
3/16/2023,9:00:00,1002.2
3/16/2023,10:00:00,1002.1
3/16/2023,11:00:00,1001.6
3/16/2023,12:00:00,1001
3/16/2023,13:00:00,1000.2
3/16/2023,14:00:00,999.4
3/16/2023,15:00:00,999.3
3/16/2023,16:00:00,998.9
3/16/2023,17:00:00,998.7
3/16/2023,18:00:00,999
3/16/2023,19:00:00,998.6
3/16/2023,20:00:00,998.2
3/16/2023,21:00:00,998
3/16/2023,22:00:00,998.3
3/16/2023,23:00:00,998.1
3/17/2023,0:00:00,998.1
3/17/2023,1:00:00,998.2
3/17/2023,2:00:00,998.3
3/17/2023,3:00:00,998.2
3/17/2023,4:00:00,998.6
3/17/2023,5:00:00,998
3/17/2023,6:00:00,998.5
3/17/2023,7:00:00,998.6
3/17/2023,8:00:00,999
3/17/2023,9:00:00,999.5
3/17/2023,10:00:00,999.1
3/17/2023,11:00:00,999.2
3/17/2023,12:00:00,999.4
3/17/2023,13:00:00,999.2
3/17/2023,14:00:00,998.4
3/17/2023,15:00:00,998.8
3/17/2023,16:00:00,998.8
3/17/2023,17:00:00,998.8
3/17/2023,18:00:00,999.5
3/17/2023,19:00:00,999.5
3/17/2023,20:00:00,999.6
3/17/2023,21:00:00,1000.3
3/17/2023,22:00:00,1000
3/17/2023,23:00:00,1000.1
3/18/2023,0:00:00,1000.6
3/18/2023,1:00:00,1000.3
3/18/2023,2:00:00,1000.1
3/18/2023,3:00:00,999.9
3/18/2023,4:00:00,1000.1
3/18/2023,5:00:00,1000.5
3/18/2023,6:00:00,1000.4
3/18/2023,7:00:00,1000.9
3/18/2023,8:00:00,1001.2
3/18/2023,9:00:00,1001.5
3/18/2023,10:00:00,1001
3/18/2023,11:00:00,1001.1
3/18/2023,12:00:00,1001.1
3/18/2023,13:00:00,1000.8
3/18/2023,14:00:00,1000.7
3/18/2023,15:00:00,1000.5
3/18/2023,16:00:00,1000.7
3/18/2023,17:00:00,1001.2
3/18/2023,18:00:00,1001.7
3/18/2023,19:00:00,1001.9
3/18/2023,20:00:00,1002.7
3/18/2023,21:00:00,1000.7
3/18/2023,22:00:00,1000.2
3/18/2023,23:00:00,1001.3
3/19/2023,0:00:00,995.4
3/19/2023,1:00:00,1003.8
3/19/2023,2:00:00,995.3
3/19/2023,3:00:00,991
3/19/2023,4:00:00,989.4
3/19/2023,5:00:00,991
3/19/2023,6:00:00,991.2
3/19/2023,7:00:00,993.3
3/19/2023,8:00:00,1008.2
3/19/2023,9:00:00,1006
3/19/2023,10:00:00,1004.6
3/19/2023,11:00:00,1007.8
3/19/2023,12:00:00,1010.6
3/19/2023,13:00:00,1010.9
3/19/2023,14:00:00,1010.7
3/19/2023,15:00:00,1011.2
3/19/2023,16:00:00,1011.3
3/19/2023,17:00:00,1012.2
3/19/2023,18:00:00,1012.9
3/19/2023,19:00:00,1012.5
3/19/2023,20:00:00,1013.2
3/19/2023,21:00:00,1012.9
3/19/2023,22:00:00,1012.7
3/19/2023,23:00:00,1012.7
3/20/2023,0:00:00,1012.6
3/20/2023,1:00:00,1012.2
3/20/2023,2:00:00,1011.7
3/20/2023,3:00:00,1011.4
3/20/2023,4:00:00,1010.9
3/20/2023,5:00:00,1010.9
3/20/2023,6:00:00,1010.4
3/20/2023,7:00:00,1010.5
3/20/2023,8:00:00,1010.6
3/20/2023,9:00:00,1011
3/20/2023,10:00:00,1010.9
3/20/2023,11:00:00,1010.8
3/20/2023,12:00:00,1010.7
3/20/2023,13:00:00,1010.2
3/20/2023,14:00:00,1010
3/20/2023,15:00:00,1009.7
3/20/2023,16:00:00,1009.4
3/20/2023,17:00:00,1009.3
3/20/2023,18:00:00,1009.5
3/20/2023,19:00:00,1009.4
3/20/2023,20:00:00,1009.1
3/20/2023,21:00:00,1008.8
3/20/2023,22:00:00,1008.5
3/20/2023,23:00:00,1008
3/21/2023,0:00:00,1007.6
3/21/2023,1:00:00,1007.3
3/21/2023,2:00:00,1007.4
3/21/2023,3:00:00,1007
3/21/2023,4:00:00,1006.2
